DU,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2003 0:00,304.629822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2003 0:00,309.709167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2003 0:00,313.327026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2003 0:00,306.853638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2003 0:00,306.333649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2003 0:00,287.778717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2003 0:00,281.308136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2003 0:00,280.688263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2003 0:00,275.063171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2003 0:00,272.102814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2003 0:00,276.375153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2003 0:00,273.343628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2004 0:00,285.180756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2004 0:00,286.094025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2004 0:00,290.495422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2004 0:00,294.922455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2004 0:00,291.549194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2004 0:00,285.596069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2004 0:00,288.265839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2004 0:00,280.121155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2004 0:00,274.859924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2004 0:00,271.324951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2004 0:00,274.979706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2004 0:00,298.3797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
